"Hint","Ea","Pattern","MaxDmaSize","CmdCount","OffloadFit","DispatchRisk","Records","RunsSeen","TotalBytes","Total","ShareOf25cc","Get","Put","RsxBytes","Rsx","DurationUs","DurationMs","MaxJob"
"profile-only","0x9e4000","0xf925a7371f75443b","16384","316","spu-kernel-hle","tiny-dispatch-trap","1","1","1764816","1.68 MB","0.02%","244.00 KB","1.44 MB","0","0 B","1384","1.384","1.68 MB"
"profile-only","0x9e4000","0x9da9f9db2f23b2cf","16384","293","spu-kernel-hle","tiny-dispatch-trap","1","1","1749840","1.67 MB","0.02%","244.00 KB","1.43 MB","0","0 B","2046","2.046","1.67 MB"
"profile-only","0x9e4000","0x701c4622fe4a93d3","16384","341","spu-kernel-hle","tiny-dispatch-trap","1","1","1741200","1.66 MB","0.02%","244.00 KB","1.42 MB","0","0 B","1721","1.721","1.66 MB"
"profile-only","0x9e4000","0xc00fbdd64776ed7b","16384","332","spu-kernel-hle","tiny-dispatch-trap","1","1","1741056","1.66 MB","0.02%","244.00 KB","1.42 MB","0","0 B","1351","1.351","1.66 MB"
"profile-only","0x9e4000","0xe5fc4fb8d72a8f9b","16384","332","spu-kernel-hle","tiny-dispatch-trap","1","1","1741056","1.66 MB","0.02%","244.00 KB","1.42 MB","0","0 B","1826","1.826","1.66 MB"
"profile-only","0x9e4000","0xe32b629a3fc9736b","16384","340","spu-kernel-hle","tiny-dispatch-trap","1","1","1736208","1.66 MB","0.02%","244.00 KB","1.42 MB","0","0 B","1497","1.497","1.66 MB"
"profile-only","0x9e4000","0xdbcef42204b6a66b","16384","330","spu-kernel-hle","tiny-dispatch-trap","1","1","1735760","1.66 MB","0.02%","244.00 KB","1.42 MB","0","0 B","25575","25.575","1.66 MB"
"profile-only","0x9e4000","0x624c66218a9deac3","16384","339","spu-kernel-hle","tiny-dispatch-trap","1","1","1731216","1.65 MB","0.02%","244.00 KB","1.41 MB","0","0 B","1614","1.614","1.65 MB"
"profile-only","0x9e4000","0x1e63725d4b62263","16384","329","spu-kernel-hle","tiny-dispatch-trap","1","1","1730768","1.65 MB","0.02%","244.00 KB","1.41 MB","0","0 B","25076","25.076","1.65 MB"
"profile-only","0x9e4000","0x453d8a149ea68633","16384","329","spu-kernel-hle","tiny-dispatch-trap","1","1","1730768","1.65 MB","0.02%","244.00 KB","1.41 MB","0","0 B","1739","1.739","1.65 MB"
"profile-only","0x9e4000","0xfe3dd177f025f56b","16384","320","spu-kernel-hle","tiny-dispatch-trap","1","1","1730624","1.65 MB","0.02%","244.00 KB","1.41 MB","0","0 B","1611","1.611","1.65 MB"
"profile-only","0x9e4000","0xdbd34e32570a980b","16384","328","spu-kernel-hle","tiny-dispatch-trap","1","1","1725776","1.65 MB","0.02%","244.00 KB","1.41 MB","0","0 B","2398","2.398","1.65 MB"
"profile-only","0x9e4000","0xed7dbc8b17814fc3","16384","319","spu-kernel-hle","tiny-dispatch-trap","1","1","1725632","1.65 MB","0.02%","244.00 KB","1.41 MB","0","0 B","6764","6.764","1.65 MB"
"profile-only","0x9e4000","0x1d08ca56ec43d2cb","16384","318","spu-kernel-hle","tiny-dispatch-trap","1","1","1725328","1.65 MB","0.02%","244.00 KB","1.41 MB","0","0 B","1413","1.413","1.65 MB"
"profile-only","0x9e4000","0x456998bc276311eb","16384","318","spu-kernel-hle","tiny-dispatch-trap","1","1","1725328","1.65 MB","0.02%","244.00 KB","1.41 MB","0","0 B","1371","1.371","1.65 MB"
"profile-only","0x9e4000","0x9d53a02e9742e9cb","16384","318","spu-kernel-hle","tiny-dispatch-trap","1","1","1725328","1.65 MB","0.02%","244.00 KB","1.41 MB","0","0 B","18253","18.253","1.65 MB"
"profile-only","0x9e4000","0xb472cee295ef35fb","16384","318","spu-kernel-hle","tiny-dispatch-trap","1","1","1725328","1.65 MB","0.02%","244.00 KB","1.41 MB","0","0 B","1683","1.683","1.65 MB"
"profile-only","0x9e4000","0xa9bd4c0bf0c5d2cb","16384","318","spu-kernel-hle","tiny-dispatch-trap","1","1","1725328","1.65 MB","0.02%","244.00 KB","1.41 MB","0","0 B","3149","3.149","1.65 MB"
"profile-only","0x9e4000","0x3a4efc1672021413","16384","327","spu-kernel-hle","tiny-dispatch-trap","1","1","1720784","1.64 MB","0.02%","244.00 KB","1.40 MB","0","0 B","1652","1.652","1.64 MB"
"profile-only","0x9e4000","0xa2f01e7018611413","16384","327","spu-kernel-hle","tiny-dispatch-trap","1","1","1720784","1.64 MB","0.02%","244.00 KB","1.40 MB","0","0 B","29040","29.040","1.64 MB"
"profile-only","0x9e4000","0x8f58802699d8f2c3","16384","317","spu-kernel-hle","tiny-dispatch-trap","1","1","1720336","1.64 MB","0.02%","244.00 KB","1.40 MB","0","0 B","2011","2.011","1.64 MB"
"profile-only","0x9e4000","0x94fb4a7407d2cd6b","16384","316","spu-kernel-hle","tiny-dispatch-trap","1","1","1715344","1.64 MB","0.02%","244.00 KB","1.40 MB","0","0 B","28237","28.237","1.64 MB"
"profile-only","0x9e4000","0x18a035d8daf4078f","16384","305","spu-kernel-hle","tiny-dispatch-trap","1","1","1710800","1.63 MB","0.02%","244.00 KB","1.39 MB","0","0 B","3980","3.980","1.63 MB"
"profile-only","0x4f0b80","0x646b5bed8b8df897","16384","39","too-small","needs-batching","3","3","1673040","1.60 MB","0.02%","164.58 KB","1.43 MB","0","0 B","29864","29.864","544.61 KB"
"profile-only","0x9e4000","0x9a59f5121b51a7c3","16384","197","spu-kernel-hle","tiny-dispatch-trap","1","1","1665488","1.59 MB","0.02%","244.00 KB","1.35 MB","0","0 B","1277","1.277","1.59 MB"
"profile-only","0x9e4000","0x3b585b907872ddd3","16384","197","spu-kernel-hle","tiny-dispatch-trap","1","1","1665488","1.59 MB","0.02%","244.00 KB","1.35 MB","0","0 B","5348","5.348","1.59 MB"
"profile-only","0x9e4000","0xc66d25c7417d3e4b","16384","196","spu-kernel-hle","tiny-dispatch-trap","1","1","1660496","1.58 MB","0.02%","244.00 KB","1.35 MB","0","0 B","24639","24.639","1.58 MB"
"profile-only","0x9e4000","0xe0f8c90cb5bfafd3","16384","195","spu-kernel-hle","tiny-dispatch-trap","1","1","1655504","1.58 MB","0.02%","244.00 KB","1.34 MB","0","0 B","11256","11.256","1.58 MB"
"profile-only","0x9e4000","0x4ec8def7af7b3ab3","16384","185","spu-kernel-hle","tiny-dispatch-trap","1","1","1655056","1.58 MB","0.02%","244.00 KB","1.34 MB","0","0 B","944","0.944","1.58 MB"
"profile-only","0x9e4000","0xf88ad943a9cec223","16384","185","spu-kernel-hle","tiny-dispatch-trap","1","1","1655056","1.58 MB","0.02%","244.00 KB","1.34 MB","0","0 B","1039","1.039","1.58 MB"
"profile-only","0x9e4000","0xdc4dc74f6d2e4223","16384","185","spu-kernel-hle","tiny-dispatch-trap","1","1","1655056","1.58 MB","0.02%","244.00 KB","1.34 MB","0","0 B","1449","1.449","1.58 MB"
"profile-only","0x9e4000","0xac5f7ae56611d03f","16384","175","spu-kernel-hle","tiny-dispatch-trap","1","1","1650816","1.57 MB","0.02%","244.00 KB","1.34 MB","0","0 B","19989","19.989","1.57 MB"
"profile-only","0x9e4000","0x633f9fe4bf9e36fb","16384","184","spu-kernel-hle","tiny-dispatch-trap","1","1","1650064","1.57 MB","0.02%","244.00 KB","1.34 MB","0","0 B","1122","1.122","1.57 MB"
"profile-only","0x9e4000","0x581d07dff4a7b6fb","16384","184","spu-kernel-hle","tiny-dispatch-trap","1","1","1650064","1.57 MB","0.02%","244.00 KB","1.34 MB","0","0 B","35080","35.080","1.57 MB"
"profile-only","0x4f0b80","0xb7fc572578889197","16384","55","too-small","needs-batching","1","1","807536","788.61 KB","0.01%","298.86 KB","489.75 KB","0","0 B","3368","3.368","788.61 KB"
"profile-only","0x4f0b80","0xd280d1a6f2bdcadf","16384","22","too-small","low","2","2","613856","599.47 KB","0.01%","109.72 KB","489.75 KB","0","0 B","4127","4.127","299.73 KB"
